,Movie,Screen,Sales,Audience,Genre,Rate,month,year,AgeRate,Genre_1
300,더 파이브,501,5343797000,731.212,스릴러,청소년관람불가,11,2013,3,12
301,허스토리,696,2521025949,336.822,드라마,12세이상관람가,6,2018,0,6
302,브링 더 소울 : 더 무비,569,2902500310,336.074,기타,전체관람가,8,2019,2,4
303,미나문방구,385,2247017000,334.323,드라마,전체관람가,5,2013,2,6
304,오! 문희,1110,2610576660,325.577,코미디,12세이상관람가,9,2020,0,17
305,희생부활자,781,2515479835,323.628,미스터리,15세이상관람가,10,2017,1,9
306,무뢰한,482,3262087431,414.626,멜로/로맨스,청소년관람불가,5,2015,3,7
307,도리화가,563,2246950339,317.505,사극,12세이상관람가,11,2015,0,11
308,레드카펫,385,2404458580,316.78,멜로/로맨스,15세이상관람가,10,2014,1,7
309,번 더 스테이지: 더 무비,243,2671391900,315.01,기타,전체관람가,11,2018,2,4
310,위대한 소원,524,2438260213,308.18,코미디,15세이상관람가,4,2016,1,17
311,덕구,544,2320819700,306.126,드라마,전체관람가,4,2018,2,6
312,미성년,673,2493769950,293.258,드라마,15세이상관람가,4,2019,1,6
313,배심원들,784,2303130090,288.113,드라마,12세이상관람가,5,2019,0,6
314,혼숨,498,2258422445,288.016,공포(호러),15세이상관람가,10,2016,1,3
315,기방도령,625,2327760190,286.806,코미디,15세이상관람가,7,2019,1,17
316,다이노 타임,430,2099683100,283.3,애니메이션,전체관람가,4,2015,2,13
317,극장판 안녕 자두야,523,2124832300,278.914,애니메이션,전체관람가,5,2016,2,13
318,롤러코스터,374,1913087600,270.148,코미디,15세이상관람가,10,2013,1,17
319,남과 여,449,1651122533,203.775,멜로/로맨스,청소년관람불가,2,2016,3,7
